Repo,File,Function,Line,CCN,Grade,Priority
jeeves-core,jeeves_avionics\gateway\websocket_manager.py,broadcast,127,8,B,LOW
jeeves-core,jeeves_avionics\gateway\routers\chat.py,create_session,719,8,B,LOW
jeeves-core,jeeves_avionics\llm\factory.py,create_agent_provider_with_node_awareness,170,8,B,LOW
jeeves-core,jeeves_avionics\observability\tracing_middleware.py,_extract_request_id,180,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_save_multiple_checkpoints_in_sequence,205,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,TestEnqueueTask,113,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,TestQueueStats,609,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,test_map_structure,315,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_main.py,TestGatewayConfig,10,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,TestSSEIntegration,443,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llamaserver_provider_new.py,test_provider_initialization,14,8,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,TestProviderInterface,185,8,B,LOW
jeeves-core,jeeves_mission_system\bootstrap.py,create_app_context,177,8,B,LOW
jeeves-core,jeeves_mission_system\bootstrap.py,create_distributed_infrastructure,413,8,B,LOW
jeeves-core,jeeves_mission_system\api\server.py,websocket_endpoint,763,8,B,LOW
jeeves-core,jeeves_mission_system\common\formatting\prompt_builder.py,build_context_section,15,8,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\event_context.py,_create_params_preview,262,8,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\flow_service.py,GetSessionMessages,287,8,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\governance_service.py,_check_layer_status,258,8,B,LOW
jeeves-core,jeeves_mission_system\services\worker_coordinator.py,_get_queue_for_agent,580,8,B,LOW
jeeves-core,jeeves_mission_system\tests\contract\test_memory_contract_m2_events.py,test_event_ordering_is_deterministic,253,8,B,LOW
jeeves-core,jeeves_mission_system\tests\contract\test_memory_contract_m2_events.py,test_domain_events_has_required_columns,304,8,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_control_tower_resource_tracking.py,test_full_tracking_lifecycle,209,8,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_gateway.py,TestGovernanceAPI,141,8,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,TestGovernanceHealthEndpoint,99,8,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,test_health_endpoint_with_unhealthy_tools,165,8,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_unwired_audit_phase2.py,TestLLMGatewayCostTracking,353,8,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_unwired_audit_phase2.py,test_streaming_chunk_to_dict,480,8,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\test_intent_prompts.py,test_prompt_version_metadata,214,8,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\test_nli_service.py,TestNLIServiceStats,316,8,B,LOW
jeeves-core,jeeves_protocols\agents.py,Agent,83,8,B,LOW
jeeves-core,jeeves_protocols\agents.py,_build_agents,362,8,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,test_risk_level_values,12,8,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,test_terminal_reason_values,78,8,B,LOW
jeeves-core,jeeves_memory_module\repositories\graph_stub.py,delete_node,299,8,B,LOW
jeeves-core,jeeves_memory_module\repositories\pgvector_repository.py,batch_upsert,459,8,B,LOW
jeeves-core,jeeves_memory_module\services\code_indexer.py,search,387,8,B,LOW
jeeves-core,jeeves_memory_module\services\nli_service.py,check_entailment,145,8,B,LOW
jeeves-core,jeeves_memory_module\services\session_state_adapter.py,_session_state_to_working_memory,281,8,B,LOW
jeeves-core,jeeves_memory_module\tests\unit\repositories\test_event_repository.py,TestEvent,11,8,B,LOW
airframe,airframe\health.py,check,44,8,B,LOW
airframe,airframe\adapters\llama_server.py,LlamaServerAdapter,49,8,B,LOW
airframe,airframe\adapters\openai_chat.py,OpenAIChatAdapter,52,8,B,LOW
airframe,airframe\adapters\openai_chat.py,_stream_sse,187,8,B,LOW
jeeves-core,jeeves_avionics\feature_flags.py,FeatureFlags,100,7,B,LOW
jeeves-core,jeeves_avionics\gateway\main.py,websocket_endpoint,309,7,B,LOW
jeeves-core,jeeves_avionics\llm\providers\azure.py,generate,76,7,B,LOW
jeeves-core,jeeves_avionics\llm\providers\llamacpp_provider.py,__init__,52,7,B,LOW
jeeves-core,jeeves_avionics\llm\providers\llamaserver_provider.py,generate,98,7,B,LOW
jeeves-core,jeeves_avionics\llm\providers\llamaserver_provider.py,generate_stream,178,7,B,LOW
jeeves-core,jeeves_avionics\llm\providers\openai.py,generate_stream,93,7,B,LOW
jeeves-core,jeeves_avionics\middleware\rate_limit.py,__call__,181,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\test_thresholds.py,TestCriticThresholds,52,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,test_delete_checkpoints_before_boundary,459,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\checkpoint\test_postgres_adapter.py,TestForkCheckpoint,533,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,test_complete_task_success,328,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\distributed\test_redis_bus.py,test_fail_task_max_retries_exceeded,438,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_chat.py,TestEventCategoryMapConfiguration,312,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_main.py,test_respects_env_vars,26,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,test_format_with_all_fields,71,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,test_sse_stream_with_merge,447,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\gateway\test_sse.py,test_sse_stream_full_lifecycle,468,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,test_mock_provider_implements_interface,189,7,B,LOW
jeeves-core,jeeves_avionics\tests\unit\llm\test_llm_providers.py,test_openai_provider_generate_stream,706,7,B,LOW
jeeves-core,jeeves_avionics\tools\executor.py,execute_tool,136,7,B,LOW
jeeves-core,jeeves_avionics\webhooks\service.py,WebhookConfig,62,7,B,LOW
jeeves-core,jeeves_avionics\webhooks\service.py,unregister,274,7,B,LOW
jeeves-core,jeeves_mission_system\api\governance.py,_get_memory_layer_status,240,7,B,LOW
jeeves-core,jeeves_mission_system\api\health.py,HealthChecker,50,7,B,LOW
jeeves-core,jeeves_mission_system\common\cot_proxy.py,extract_and_strip_cot,43,7,B,LOW
jeeves-core,jeeves_mission_system\common\plan_triage.py,get_plan_complexity_score,107,7,B,LOW
jeeves-core,jeeves_mission_system\common\formatting\response_formatter.py,format_list,102,7,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\agent_events.py,__post_init__,75,7,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\event_context.py,emit_tool_completed,343,7,B,LOW
jeeves-core,jeeves_mission_system\orchestrator\event_context.py,emit_agent_reasoning,572,7,B,LOW
jeeves-core,jeeves_mission_system\services\chat_service.py,export_session,670,7,B,LOW
jeeves-core,jeeves_mission_system\tests\contract\test_memory_contract_m1_canonical.py,TestM1Schema,307,7,B,LOW
jeeves-core,jeeves_mission_system\tests\contract\test_memory_contract_m1_canonical.py,test_semantic_chunks_table_has_required_columns,310,7,B,LOW
jeeves-core,jeeves_mission_system\tests\contract\test_memory_contract_m2_events.py,test_corrections_create_compensating_events,193,7,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_api.py,test_health_endpoint,102,7,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_api.py,test_submit_request_clarification,176,7,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_control_tower_resource_tracking.py,test_budget_tracking,289,7,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,TestGovernanceConstitutionalAlignment,277,7,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_governance_api.py,test_p6_observable_metrics,305,7,B,LOW
jeeves-core,jeeves_mission_system\tests\integration\test_unwired_audit_phase2.py,TestProviderStreaming,445,7,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\test_bootstrap.py,test_creates_app_context,74,7,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\test_nli_service.py,test_get_stats,319,7,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\test_plan_triage.py,test_summary_contains_key_fields,143,7,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\orchestrator\test_event_context.py,test_create_event_context_with_minimal_args,37,7,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\services\test_health.py,test_readiness_check_healthy,46,7,B,LOW
jeeves-core,jeeves_mission_system\tests\unit\services\test_health.py,test_health_check_to_dict,196,7,B,LOW
jeeves-core,jeeves_protocols\agents.py,PipelineRunner,339,7,B,LOW
jeeves-core,jeeves_protocols\agents.py,resume,488,7,B,LOW
jeeves-core,jeeves_protocols\envelope.py,Envelope,28,7,B,LOW
jeeves-core,jeeves_protocols\grpc_client.py,GrpcGoClient,144,7,B,LOW
jeeves-core,jeeves_protocols\grpc_client.py,create_envelope,210,7,B,LOW
jeeves-core,jeeves_protocols\grpc_client.py,execute_agent,342,7,B,LOW
jeeves-core,jeeves_protocols\grpc_client.py,execute_pipeline,387,7,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_enums.py,TestOperationStatus,129,7,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_envelope.py,test_create_processing_record_defaults,77,7,B,LOW
jeeves-core,jeeves_protocols\tests\unit\test_memory.py,TestFocusType,97,7,B,LOW
jeeves-core,jeeves_memory_module\intent_classifier.py,_determine_primary_type,228,7,B,LOW
jeeves-core,jeeves_memory_module\manager.py,update,312,7,B,LOW
